Randomizer Version: 4.6.1
Random Seed: 38577501505239
Settings String: 322IygEAnj8AP8AAgERAAKkJAjECQAACQA9AQABoAAAAAAAAgCIxsEywVoICTIJCQDGUwEAElBva2Vtb24gT21lZ2EgUnViee7Lak7jwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Recover have 5 PP
Made Soft-Boiled have 5 PP
Made Leech Life have 80 power and 10 PP
Made Rest have 5 PP
Made Swagger have 85% accuracy
Made Milk Drink have 5 PP
Made Rapid Spin have 50 power
Made Luster Purge have 95 power
Made Mist Ball have 95 power
Made Slack Off have 5 PP
Made Roost have 5 PP
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
 37|Vulpix          |FIRE             |  38|  41|  40|  50|  65|  65|Insomnia      |Forewarn      |Unaware       |
 38|Ninetales       |FIRE             |  73|  76|  75|  81| 100| 100|Aerilate      |Minus         |Speed Boost   |Pink Scarf (rare)
 39|Jigglypuff      |NORMAL/FAIRY     | 115|  45|  20|  45|  25|  20|Overgrow      |Strong Jaw    |Sturdy        |Abomasite (common)
 40|Wigglytuff      |NORMAL/FAIRY     | 140|  70|  45|  85|  50|  45|Imposter      |Heavy Metal   |Damp          |Power Anklet (common)
 41|Zubat           |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Fur Coat      |Desolate Land |Arena Trap    |Assault Vest (rare)
 42|Golbat          |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Dry Skin      |Blaze         |Unburden      |
 43|Oddish          |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Pickpocket    |Snow Warning  |Quick Feet    |Big Root (common)
 44|Gloom           |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Heatproof     |Aroma Veil    |Hustle        |Choice Specs (common), Wacan Berry (rare)
 45|Vileplume       |GRASS/POISON     |  75|  80|  85| 110|  90|  50|Aura Break    |Water Absorb  |Illusion      |Razz Berry (common), Alakazite (rare)
 46|Paras           |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Turboblaze    |Pickup        |Leaf Guard    |Starf Berry (common), X Accuracy (rare)
 47|Parasect        |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Imposter      |Anticipation  |Justified     |Super Repel (rare)
 48|Venonat         |BUG/POISON       |  60|  55|  50|  40|  55|  45|Flash Fire    |Poison Point  |Drought       |Cheri Berry (rare)
 49|Venomoth        |BUG/POISON       |  70|  65|  60|  90|  75|  90|Illusion      |Battle Armor  |Delta Stream  |Sticky Barb (common), Starf Berry (rare)
 50|Diglett         |GROUND           |  10|  55|  25|  35|  45|  95|Magic Guard   |Symbiosis     |Synchronize   |Draco Plate (100%)
 51|Dugtrio         |GROUND           |  35| 100|  50|  50|  70| 120|Victory Star  |Honey Gather  |Tinted Lens   |
 52|Meowth          |NORMAL           |  40|  45|  35|  40|  40|  90|Toxic Boost   |Early Bird    |Serene Grace  |
 53|Persian         |NORMAL           |  65|  70|  60|  65|  65| 115|Aftermath     |Big Pecks     |Color Change  |Blue Shard (common), Growth Mulch (rare)
 54|Psyduck         |WATER            |  50|  52|  48|  65|  50|  55|Limber        |Victory Star  |Prankster     |Twisted Spoon (common)
 55|Golduck         |WATER            |  80|  82|  78|  95|  80|  85|Insomnia      |Justified     |Minus         |Focus Sash (common)
 56|Mankey          |FIGHTING         |  40|  80|  35|  35|  45|  70|Grass Pelt    |Unaware       |Motor Drive   |
 57|Primeape        |FIGHTING         |  65| 105|  60|  60|  70|  95|Ice Body      |Unaware       |Unburden      |White Herb (rare)
 58|Growlithe       |FIRE             |  55|  70|  45|  70|  50|  60|Light Metal   |Ice Body      |Solid Rock    |Zap Plate (rare)
 59|Arcanine        |FIRE             |  90| 110|  80| 100|  80|  95|Teravolt      |Static        |Flame Body    |Luminous Moss (common)
 60|Poliwag         |WATER            |  40|  50|  40|  40|  40|  90|Lightning Rod |Parental Bond |Bulletproof   |
 61|Poliwhirl       |WATER            |  65|  65|  65|  50|  50|  90|Fur Coat      |Skill Link    |Magic Bounce  |
 62|Poliwrath       |WATER/FIGHTING   |  90|  95|  95|  70|  90|  70|Magnet Pull   |Heatproof     |Honey Gather  |Sky Plate (common)
 63|Abra            |PSYCHIC          |  25|  20|  15| 105|  55|  90|Static        |Flash Fire    |No Guard      |
 64|Kadabra         |PSYCHIC          |  40|  35|  30| 120|  70| 105|Unburden      |Magic Bounce  |Sweet Veil    |Sharp Beak (common), Assault Vest (rare)
 65|Alakazam        |PSYCHIC          |  55|  50|  45| 135|  95| 120|Rivalry       |Drizzle       |Aerilate      |Wiki Berry (common), Soft Sand (rare)
 66|Machop          |FIGHTING         |  70|  80|  50|  35|  35|  35|Symbiosis     |Solid Rock    |Illusion      |
 67|Machoke         |FIGHTING         |  80| 100|  70|  50|  60|  45|Hydration     |Rivalry       |Chlorophyll   |Luminous Moss (common)
 68|Machamp         |FIGHTING         |  90| 130|  80|  65|  85|  55|Prankster     |Flare Boost   |Color Change  |Mind Plate (common)
 69|Bellsprout      |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Rivalry       |Sticky Hold   |Drought       |
 70|Weepinbell      |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Keen Eye      |Imposter      |Immunity      |
 71|Victreebel      |GRASS/POISON     |  80| 105|  65| 100|  70|  70|Stench        |Limber        |No Guard      |Jaw Fossil (common)
 72|Tentacool       |WATER/POISON     |  40|  40|  35|  50| 100|  70|Suction Cups  |Liquid Ooze   |Hustle        |
 73|Tentacruel      |WATER/POISON     |  80|  70|  65|  80| 120| 100|Competitive   |Sheer Force   |Immunity      |Aggronite (common)
 74|Geodude         |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Healer        |Moody         |Motor Drive   |
 75|Graveler        |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Flower Veil   |Swarm         |Dry Skin      |
 76|Golem           |ROCK/GROUND      |  80| 120| 130|  55|  65|  45|Iron Fist     |Truant        |Parental Bond |Blue Scarf (common)
 77|Ponyta          |FIRE             |  50|  85|  55|  65|  65|  90|Illuminate    |Defeatist     |Guts          |
 78|Rapidash        |FIRE             |  65| 100|  70|  80|  80| 105|Sand Veil     |Solid Rock    |Sweet Veil    |Assault Vest (common), Banettite (rare)
 79|Slowpoke        |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Lightning Rod |Aroma Veil    |Parental Bond |
 80|Slowbro         |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Trace         |Torrent       |Storm Drain   |
 81|Magnemite       |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Thick Fat     |Desolate Land |White Smoke   |
 82|Magneton        |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Imposter      |Air Lock      |Gale Wings    |
 83|Farfetch’d      |NORMAL/FLYING    |  52|  90|  55|  58|  62|  60|Poison Heal   |Own Tempo     |Magma Armor   |Diancite (100%)
 84|Doduo           |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Pickup        |Oblivious     |Rattled       |
 85|Dodrio          |NORMAL/FLYING    |  60| 110|  70|  60|  60| 110|Own Tempo     |Analytic      |Tough Claws   |HP Up (common)
 86|Seel            |WATER            |  65|  45|  55|  45|  70|  45|Oblivious     |No Guard      |Friend Guard  |
 87|Dewgong         |WATER/ICE        |  90|  70|  80|  70|  95|  70|Super Luck    |Torrent       |Early Bird    |Relic Gold (rare)
 88|Grimer          |POISON           |  80|  80|  50|  40|  50|  25|Early Bird    |Natural Cure  |Storm Drain   |Blue Shard (rare)
 89|Muk             |POISON           | 105| 105|  75|  65| 100|  50|Air Lock      |Shield Dust   |Hyper Cutter  |Draco Plate (common), Bridge Mail T (rare)
 90|Shellder        |WATER            |  30|  65| 100|  45|  25|  40|Water Absorb  |Mummy         |Magic Guard   |Cornn Berry (rare)
 91|Cloyster        |WATER/ICE        |  50|  95| 180|  85|  45|  70|Contrary      |Flash Fire    |Rough Skin    |
 92|Gastly          |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Healer        |Truant        |Iron Barbs    |
 93|Haunter         |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Sap Sipper    |Teravolt      |Ice Body      |Resist Wing (rare)
 94|Gengar          |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Torrent       |Rivalry       |Thick Fat     |Latiasite (100%)
 95|Onix            |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Serene Grace  |Hyper Cutter  |Marvel Scale  |
 96|Drowzee         |PSYCHIC          |  60|  48|  45|  43|  90|  42|Water Veil    |Competitive   |Prankster     |
 97|Hypno           |PSYCHIC          |  85|  73|  70|  73| 115|  67|Cute Charm    |Stench        |Honey Gather  |Meadow Plate (rare)
 98|Krabby          |WATER            |  30| 105|  90|  25|  25|  50|Tough Claws   |Magic Bounce  |Air Lock      |
 99|Kingler         |WATER            |  55| 130| 115|  50|  50|  75|Clear Body    |Ice Body      |Teravolt      |
100|Voltorb         |ELECTRIC         |  40|  30|  50|  55|  55| 100|Weak Armor    |Rough Skin    |Telepathy     |
101|Electrode       |ELECTRIC         |  60|  50|  70|  80|  80| 150|Moxie         |Grass Pelt    |Flare Boost   |
102|Exeggcute       |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Overcoat      |Effect Spore  |Solar Power   |Steelixite (common), Magmarizer (rare)
103|Exeggutor       |GRASS/PSYCHIC    |  95|  95|  85| 125|  75|  55|Skill Link    |Poison Heal   |Download      |Slowbronite (common), Elixir (rare)
104|Cubone          |GROUND           |  50|  50|  95|  40|  50|  35|Hyper Cutter  |Magma Armor   |Synchronize   |Lopunnite (common), Sitrus Berry (rare)
105|Marowak         |GROUND           |  60|  80| 110|  50|  80|  45|Motor Drive   |Pickpocket    |Levitate      |
106|Hitmonlee       |FIGHTING         |  50| 120|  53|  35| 110|  87|Parental Bond |Friend Guard  |Lightning Rod |Kasib Berry (common)
107|Hitmonchan      |FIGHTING         |  50| 105|  79|  35| 110|  76|Heavy Metal   |Unaware       |Weak Armor    |Ampharosite (rare)
108|Lickitung       |NORMAL           |  90|  55|  75|  60|  75|  30|Justified     |Friend Guard  |Fairy Aura    |
109|Koffing         |POISON           |  40|  65|  95|  60|  45|  35|Inner Focus   |Pickpocket    |Minus         |Chesto Berry (100%)
110|Weezing         |POISON           |  65|  90| 120|  85|  70|  60|Super Luck    |Mega Launcher |Defiant       |
111|Rhyhorn         |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Storm Drain   |Quick Feet    |Overcoat      |
112|Rhydon          |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Justified     |Poison Heal   |Sap Sipper    |Metal Coat (common)
113|Chansey         |NORMAL           | 250|   5|   5|  35| 105|  50|Bulletproof   |Levitate      |Sand Force    |Dome Fossil (common)
114|Tangela         |GRASS            |  65|  55| 115| 100|  40|  60|Storm Drain   |Symbiosis     |Delta Stream  |Dubious Disc (common), Roseli Berry (rare)
115|Kangaskhan      |NORMAL           | 105|  95|  80|  40|  80|  90|Turboblaze    |Guts          |Justified     |
116|Horsea          |WATER            |  30|  40|  70|  70|  25|  60|Rattled       |Storm Drain   |Sheer Force   |
117|Seadra          |WATER            |  55|  65|  95|  95|  45|  85|Illuminate    |Scrappy       |Huge Power    |
118|Goldeen         |WATER            |  45|  67|  60|  35|  50|  63|Fur Coat      |Tangled Feet  |Huge Power    |
119|Seaking         |WATER            |  80|  92|  65|  65|  80|  68|Hydration     |Guts          |Klutz         |Macho Brace (rare)
120|Staryu          |WATER            |  30|  45|  55|  70|  55|  85|Healer        |Minus         |Super Luck    |
121|Starmie         |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Water Absorb  |Pixilate      |White Smoke   |
122|Mr. Mime        |PSYCHIC/FAIRY    |  40|  45|  65| 100| 120|  90|Vital Spirit  |Overgrow      |Victory Star  |Rare Candy (common)
123|Scyther         |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Wonder Skin   |Pickup        |Storm Drain   |
124|Jynx            |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Arena Trap    |Overgrow      |Synchronize   |Red Scarf (100%)
125|Electabuzz      |ELECTRIC         |  65|  83|  57|  95|  85| 105|Sap Sipper    |Anger Point   |Overgrow      |White Flute (rare)
126|Magmar          |FIRE             |  65|  95|  57| 100|  85|  93|Flare Boost   |Hyper Cutter  |Effect Spore  |Shell Bell (common)
127|Pinsir          |BUG              |  65| 125| 100|  55|  70|  85|Symbiosis     |Natural Cure  |Flash Fire    |Blue Scarf (common)
128|Tauros          |NORMAL           |  75| 100|  95|  40|  70| 110|Iron Barbs    |Slow Start    |Storm Drain   |Poké Doll (100%)
129|Magikarp        |WATER            |  20|  10|  55|  15|  20|  80|Pixilate      |Competitive   |Sand Stream   |
130|Gyarados        |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Teravolt      |Rock Head     |Chlorophyll   |Maranga Berry (common), Calcium (rare)
131|Lapras          |WATER/ICE        | 130|  85|  80|  85|  95|  60|Moxie         |Moody         |Flare Boost   |Dark Gem (100%)
132|Ditto           |NORMAL           |  48|  48|  48|  48|  48|  48|Super Luck    |Thick Fat     |Hydration     |
133|Eevee           |NORMAL           |  55|  55|  50|  45|  65|  55|Teravolt      |Sturdy        |Grass Pelt    |
134|Vaporeon        |WATER            | 130|  65|  60| 110|  95|  65|Immunity      |Defeatist     |Teravolt      |Ganlon Berry (rare)
135|Jolteon         |ELECTRIC         |  65|  65|  60| 110|  95| 130|Grass Pelt    |Anger Point   |Illusion      |Rare Bone (100%)
136|Flareon         |FIRE             |  65| 130|  60|  95| 110|  65|Primordial Sea|Wonder Skin   |Slow Start    |Shoal Salt (common)
137|Porygon         |NORMAL           |  65|  60|  70|  85|  75|  40|Primordial Sea|Strong Jaw    |Aroma Veil    |Blue Scarf (common)
138|Omanyte         |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Super Luck    |Lightning Rod |White Smoke   |
139|Omastar         |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Aerilate      |Shield Dust   |Poison Point  |
140|Kabuto          |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Solar Power   |Flame Body    |Illusion      |Charcoal (rare)
141|Kabutops        |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Static        |Synchronize   |Water Absorb  |Bridge Mail V (rare)
142|Aerodactyl      |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Illuminate    |Sheer Force   |Fairy Aura    |Razor Fang (common), White Flute (rare)
143|Snorlax         |NORMAL           | 160| 110|  65|  65| 110|  30|Skill Link    |Sap Sipper    |Desolate Land |Iron Plate (100%)
144|Articuno        |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Natural Cure  |Pressure      |Liquid Ooze   |
145|Zapdos          |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Flare Boost   |Rough Skin    |Pickpocket    |Stardust (common), Power Anklet (rare)
146|Moltres         |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Ice Body      |Reckless      |Magician      |
147|Dratini         |DRAGON           |  41|  64|  45|  50|  50|  50|Sniper        |Rough Skin    |Pickpocket    |Honey (common), X Defense (rare)
148|Dragonair       |DRAGON           |  61|  84|  65|  70|  70|  70|Solid Rock    |Tinted Lens   |Soundproof    |Qualot Berry (common)
149|Dragonite       |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Flash Fire    |Klutz         |Unaware       |
150|Mewtwo          |PSYCHIC          | 106| 110|  90| 154|  90| 130|Battle Armor  |Skill Link    |Gluttony      |
151|Mew             |PSYCHIC          | 100| 100| 100| 100| 100| 100|Parental Bond |Inner Focus   |Swarm         |Gardevoirite (100%)
152|Chikorita       |GRASS            |  45|  49|  65|  49|  65|  45|Symbiosis     |Early Bird    |Desolate Land |Salamencite (common), Enigma Berry (rare)
153|Bayleef         |GRASS            |  60|  62|  80|  63|  80|  60|Unburden      |Aura Break    |Marvel Scale  |
154|Meganium        |GRASS            |  80|  82| 100|  83| 100|  80|Oblivious     |Gluttony      |Unburden      |
155|Cyndaquil       |FIRE             |  39|  52|  43|  60|  50|  65|Flame Body    |Download      |Regenerator   |
156|Quilava         |FIRE             |  58|  64|  58|  80|  65|  80|Healer        |Anger Point   |Technician    |
157|Typhlosion      |FIRE             |  78|  84|  78| 109|  85| 100|Flash Fire    |Snow Cloak    |Air Lock      |Pomeg Berry (common), Metal Powder (rare)
158|Totodile        |WATER            |  50|  65|  64|  44|  48|  43|Pickpocket    |Run Away      |Shell Armor   |
159|Croconaw        |WATER            |  65|  80|  80|  59|  63|  58|Air Lock      |Color Change  |Aroma Veil    |Blazikenite (rare)
160|Feraligatr      |WATER            |  85| 105| 100|  79|  83|  78|Prankster     |Drizzle       |Weak Armor    |Sablenite (common), Premier Ball (rare)
161|Sentret         |NORMAL           |  35|  46|  34|  35|  45|  20|Rough Skin    |Solar Power   |Moxie         |
162|Furret          |NORMAL           |  85|  76|  64|  45|  55|  90|Hustle        |Drought       |Tinted Lens   |
163|Hoothoot        |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Wonder Skin   |Aura Break    |Sturdy        |
164|Noctowl         |NORMAL/FLYING    | 100|  50|  50|  86|  96|  70|Speed Boost   |Soundproof    |Swift Swim    |
165|Ledyba          |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Refrigerate   |Healer        |Rattled       |Mewtwonite Y (common), Armor Fossil (rare)
166|Ledian          |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Delta Stream  |Flare Boost   |Fur Coat      |
167|Spinarak        |BUG/POISON       |  40|  60|  40|  40|  40|  30|Guts          |Sand Veil     |Chlorophyll   |
168|Ariados         |BUG/POISON       |  70|  90|  70|  60|  70|  40|Sap Sipper    |Symbiosis     |Aftermath     |Power Herb (common)
169|Crobat          |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Storm Drain   |Lightning Rod |Iron Barbs    |
170|Chinchou        |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Adaptability  |Flash Fire    |Analytic      |
171|Lanturn         |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Moxie         |Defiant       |Flower Veil   |
172|Pichu           |ELECTRIC         |  20|  40|  15|  35|  35|  60|Sheer Force   |Marvel Scale  |Solar Power   |
173|Cleffa          |FAIRY            |  50|  25|  28|  45|  55|  15|Steadfast     |Natural Cure  |Aerilate      |
174|Igglybuff       |NORMAL/FAIRY     |  90|  30|  15|  40|  20|  15|Rain Dish     |Anticipation  |Sand Force    |
175|Togepi          |FAIRY            |  35|  20|  65|  40|  65|  20|Magma Armor   |Swift Swim    |Weak Armor    |
176|Togetic         |FAIRY/FLYING     |  55|  40|  85|  80| 105|  40|Color Change  |Damp          |Refrigerate   |Power Band (rare)
177|Natu            |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Filter        |Fairy Aura    |Infiltrator   |
178|Xatu            |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Hydration     |Motor Drive   |Justified     |
179|Mareep          |ELECTRIC         |  55|  40|  40|  65|  45|  35|Fur Coat      |Serene Grace  |Mega Launcher |King’s Rock (common), Heal Ball (rare)
180|Flaaffy         |ELECTRIC         |  70|  55|  55|  80|  60|  45|Rough Skin    |Poison Touch  |Iron Fist     |Calcium (rare)
181|Ampharos        |ELECTRIC         |  90|  75|  85| 115|  90|  55|Strong Jaw    |Heavy Metal   |Parental Bond |
182|Bellossom       |GRASS            |  75|  80|  95|  90| 100|  50|Weak Armor    |Moxie         |Immunity      |Dusk Ball (rare)
183|Marill          |WATER/FAIRY      |  70|  20|  50|  20|  50|  40|Justified     |Snow Warning  |Serene Grace  |
184|Azumarill       |WATER/FAIRY      | 100|  50|  80|  60|  80|  50|Arena Trap    |Moody         |Early Bird    |
185|Sudowoodo       |ROCK             |  70| 100| 115|  30|  65|  30|Mega Launcher |Rivalry       |Natural Cure  |
186|Politoed        |WATER            |  90|  75|  75|  90| 100|  70|Magic Guard   |Toxic Boost   |Quick Feet    |Sharp Beak (common)
187|Hoppip          |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Effect Spore  |Unaware       |Poison Point  |
188|Skiploom        |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Rivalry       |Imposter      |Mummy         |
189|Jumpluff        |GRASS/FLYING     |  75|  55|  70|  55|  95| 110|Desolate Land |Immunity      |Wonder Skin   |Lopunnite (rare)
190|Aipom           |NORMAL           |  55|  70|  55|  40|  55|  85|Rain Dish     |Oblivious     |Refrigerate   |Ampharosite (common)
191|Sunkern         |GRASS            |  30|  30|  30|  30|  30|  30|Friend Guard  |Healer        |Klutz         |Sharpedonite (common), Skull Fossil (rare)
192|Sunflora        |GRASS            |  75|  75|  55| 105|  85|  30|Minus         |Liquid Ooze   |Intimidate    |Babiri Berry (rare)
193|Yanma           |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Shadow Tag    |Rivalry       |Unaware       |Magnet (common)
194|Wooper          |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Magma Armor   |Reckless      |Super Luck    |
195|Quagsire        |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Slow Start    |Honey Gather  |Compound Eyes |Greet Mail (100%)
196|Espeon          |PSYCHIC          |  65|  65|  60| 130|  95| 110|Water Absorb  |Keen Eye      |Poison Heal   |Power Bracer (common), Wide Lens (rare)
197|Umbreon         |DARK             |  95|  65| 110|  60| 130|  65|Hyper Cutter  |Scrappy       |Flower Veil   |Qualot Berry (common)
198|Murkrow         |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Sheer Force   |Immunity      |Competitive   |Lax Incense (common)
199|Slowking        |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Prankster     |Fur Coat      |Trace         |
200|Misdreavus      |GHOST            |  60|  60|  60|  85|  85|  85|Adaptability  |Overgrow      |Analytic      |Favored Mail (rare)
